Year,Month,Day,Hour,Severity,count
2022,12,2,5,Moderate,20
2018,1,4,16,Moderate,42
2022,5,5,12,Moderate,48
2021,5,5,17,Moderate,33
2019,10,6,7,Moderate,72
2021,7,4,15,Moderate,47
2018,5,4,10,Moderate,34
2020,12,2,17,Moderate,66
2018,5,1,18,High,7
2021,2,4,7,Moderate,62
2019,11,2,1,Moderate,4
2017,6,4,7,High,13
2019,4,3,6,Moderate,40
2023,2,6,10,Moderate,8
2022,10,7,6,Moderate,8
2023,1,1,0,Severe,19
2022,11,7,20,Moderate,25
2018,3,3,18,Moderate,31
2019,5,6,5,Moderate,21
2019,2,5,14,Moderate,21
2019,7,2,20,High,2
2019,6,3,22,Moderate,6
2021,3,7,15,Moderate,23
2021,1,6,20,Moderate,56
2022,6,3,11,Moderate,29
2020,10,3,23,Moderate,56
2017,4,1,18,High,9
2020,8,3,15,Moderate,9
2019,8,3,11,Moderate,29
2023,2,4,15,Moderate,42
2021,3,3,14,Moderate,37
2017,1,3,20,Moderate,16
2017,4,6,9,High,7
2018,1,2,0,Moderate,4
2019,1,1,13,High,6
2017,8,4,22,High,7
2019,5,6,7,Severe,2
2017,7,6,9,High,14
2020,2,6,1,High,1
2021,9,5,3,Severe,3
2018,10,2,23,Moderate,4
2022,2,5,4,Moderate,17
2017,8,1,14,Moderate,5
2020,4,4,4,Moderate,20
2022,4,6,16,High,9
2022,2,4,15,Severe,3
2018,11,2,12,High,8
2019,1,2,9,High,14
2019,10,6,19,High,8
2022,1,1,11,Moderate,34
2019,5,2,13,Moderate,21
2020,4,4,6,High,11
2017,11,4,6,High,29
2020,3,6,5,Moderate,19
2020,3,7,13,Moderate,16
2021,2,1,2,Moderate,31
2021,10,3,14,High,4
2016,7,3,23,Moderate,2
2019,7,2,20,Moderate,10
2017,4,6,4,Moderate,7
2016,10,4,19,High,9
2017,5,7,13,Severe,1
2020,1,5,17,High,14
2018,9,1,8,High,8
2018,6,2,15,High,13
2020,11,2,18,High,9
2017,2,2,22,Moderate,7
2022,10,4,3,Moderate,2
2016,11,7,16,Moderate,11
2019,5,7,19,Severe,3
2017,7,6,5,Moderate,9
2018,11,3,20,High,4
2022,8,3,16,Moderate,95
2018,6,7,6,Moderate,4
2023,2,1,4,Moderate,4
2018,2,6,6,Moderate,34
2021,10,2,8,Moderate,59
2020,7,3,17,Moderate,20
2021,9,3,15,High,11
2022,3,6,15,Moderate,81
2020,10,7,15,Moderate,34
2016,10,1,13,High,9
2022,6,5,17,Moderate,101
2020,9,2,11,Moderate,30
2017,9,7,11,High,13
2022,11,4,15,Moderate,81
2020,3,3,8,Moderate,79
2021,1,5,15,Moderate,58
2021,1,4,6,Moderate,43
2019,3,6,7,High,21
2020,11,7,18,High,3
2017,6,1,8,Moderate,5
2019,7,5,9,Moderate,34
2020,12,3,12,Moderate,69
2018,12,1,0,Moderate,3
2022,8,7,13,High,5
2019,4,5,18,High,9
2016,8,6,22,High,12
2020,4,6,21,Moderate,12
2022,12,3,14,Moderate,74
2020,10,3,21,Moderate,45
2022,5,3,20,Moderate,31
2019,12,3,1,High,1
2022,5,1,13,Moderate,35
2022,8,4,6,Low,17
2021,8,4,9,Moderate,35
2017,1,6,11,Moderate,28
2018,12,4,20,Moderate,13
2019,12,1,3,Moderate,7
2016,10,4,8,Moderate,42
2020,8,5,1,High,1
2021,10,4,13,Moderate,42
2023,2,4,8,Moderate,23
2022,1,2,4,Moderate,24
2021,3,5,5,Moderate,58
2018,1,5,11,Moderate,22
2019,5,6,13,Moderate,35
2017,6,5,20,Moderate,12
2022,10,1,22,Moderate,20
2018,3,2,16,High,13
2018,4,4,8,High,33
2021,3,7,10,Moderate,23
2021,12,7,9,Moderate,25
2019,11,1,15,Moderate,11
2020,9,7,9,Severe,2
2021,9,4,23,High,1
2018,5,5,22,Severe,1
2021,11,5,10,Moderate,31
2020,4,6,4,Moderate,8
2018,3,5,10,Severe,1
2018,3,2,6,High,19
2019,3,2,13,Moderate,24
2019,5,6,19,Moderate,15
2020,5,3,19,Moderate,19
2022,10,7,3,Moderate,8
2022,2,5,22,High,3
2022,2,1,9,Moderate,16
2020,10,6,7,High,13
2018,2,2,12,High,12
2020,10,6,6,High,9
2019,2,7,21,Severe,1
2020,4,2,8,Severe,2
2018,11,7,12,Moderate,17
2020,9,2,14,High,6
2019,6,6,11,High,8
2018,5,3,22,High,6
2017,10,3,8,High,32
2022,5,5,9,High,6
2016,11,5,13,Moderate,20
2018,6,2,4,High,8
2019,5,5,21,High,3
2017,7,5,5,Moderate,5
2018,10,2,21,High,7
2016,12,2,12,Moderate,21
2018,5,4,10,High,17
2017,6,3,5,High,5
2020,4,1,17,Severe,1
2019,5,2,0,Moderate,2
2022,4,4,16,Moderate,118
2019,3,1,19,High,4
2022,10,4,4,Moderate,3
2016,8,1,12,Moderate,6
2017,8,2,7,High,24
2023,2,6,8,Moderate,16
2017,10,3,16,Moderate,62
2022,3,7,15,Moderate,36
2021,12,2,16,Moderate,105
