Year,Month,Day,Hour,Severity,count
2017,5,4,1,High,2
2019,8,5,19,High,6
2020,3,6,23,Moderate,8
2017,5,4,19,High,5
2020,2,1,21,High,4
2020,10,5,9,High,7
2017,4,5,13,Severe,1
2017,11,4,11,High,13
2021,1,1,22,Severe,1
2017,2,1,17,High,4
2017,4,3,11,Severe,2
2023,1,3,3,Moderate,12
2020,2,7,7,Moderate,9
2017,12,7,11,High,7
2020,1,7,20,High,7
2021,7,6,4,Moderate,20
2019,9,3,19,High,9
2021,11,1,16,High,3
2017,2,4,9,Severe,1
2022,11,4,16,Severe,3
2020,1,4,3,Moderate,7
2017,6,5,15,Severe,2
2018,2,1,20,Moderate,6
2019,5,5,15,Severe,1
2017,5,7,19,Severe,3
2020,11,6,7,Severe,2
2018,6,5,3,High,3
2017,9,4,9,Moderate,29
2020,2,5,13,Severe,1
2019,5,1,12,High,13
2016,8,2,5,Moderate,8
2016,12,6,12,Severe,1
2016,12,1,20,Severe,1
2019,8,6,21,High,9
2021,5,7,14,High,7
2017,4,5,6,Moderate,13
2021,1,5,4,Severe,2
2016,10,4,22,High,6
2016,11,7,4,High,3
2020,6,5,14,Severe,4
2019,3,1,18,Moderate,6
2020,3,7,17,Severe,1
2021,7,6,11,Severe,1
2017,3,6,4,Moderate,5
2021,8,4,12,High,5
2018,7,6,20,High,2
2019,1,7,11,High,5
2019,6,5,21,High,2
2022,4,5,1,Moderate,7
2019,9,5,3,High,2
2019,7,7,4,High,1
2020,8,1,6,Moderate,3
2019,2,2,13,High,4
2022,12,4,8,Severe,4
2018,11,3,4,Severe,1
2018,11,3,1,High,1
2022,4,2,23,Severe,1
2020,6,4,23,Moderate,5
2017,5,5,8,High,11
2022,8,5,13,Low,2
2022,4,3,10,High,3
2016,7,3,14,Severe,2
2022,9,4,16,Low,3
2018,3,5,2,Moderate,3
2018,6,5,13,High,14
2016,3,3,8,High,3
2019,2,2,0,Moderate,4
2017,8,1,12,High,4
2018,10,2,11,Severe,1
2016,11,1,8,High,3
2022,9,3,21,Moderate,17
2020,2,2,0,High,2
2016,3,3,12,High,1
2016,10,4,8,Severe,1
2018,2,2,19,High,11
2022,4,4,15,High,13
2018,4,7,16,Severe,2
2023,2,3,1,Moderate,4
2017,7,1,11,Moderate,4
2019,12,1,17,High,7
2017,7,4,22,Moderate,5
2021,3,1,11,Moderate,11
2021,1,1,11,Moderate,17
2021,6,4,14,High,13
2016,5,7,2,High,1
2017,10,3,9,Severe,1
2017,3,4,7,High,20
2019,10,2,12,Severe,2
2018,6,1,10,Severe,1
2017,6,2,17,High,9
2020,4,1,10,High,4
2022,9,6,16,Low,5
2021,8,5,18,Severe,1
2022,6,3,15,High,6
2019,7,2,12,Moderate,23
2021,8,5,20,Severe,1
2022,4,6,3,High,1
2020,2,4,1,Moderate,2
2016,11,4,5,High,4
2017,3,5,20,Moderate,14
2020,1,6,2,High,2
2016,5,5,10,High,4
2016,6,4,16,Moderate,12
2019,11,7,7,High,8
2018,6,1,1,High,3
2019,4,3,20,Severe,2
2020,3,2,18,Severe,3
2022,6,6,10,Low,1
2016,5,1,19,High,1
2020,10,1,15,Severe,1
2021,2,2,20,Severe,1
2020,8,2,1,Moderate,3
2020,6,7,6,High,6
2020,4,3,15,Low,7
2017,10,2,9,Severe,1
2019,6,7,22,High,4
2017,9,6,3,Moderate,3
2019,12,2,8,High,14
2017,8,6,6,High,15
2022,6,5,7,Low,20
2021,6,7,16,High,4
2022,2,1,20,Severe,4
2020,3,1,7,High,10
2019,6,2,8,Severe,1
2017,4,1,14,Moderate,8
2022,12,3,4,Moderate,9
2020,5,4,10,Low,2
2019,10,6,20,Moderate,20
2019,9,4,1,High,2
2017,11,2,4,Moderate,6
2020,1,3,14,Moderate,26
2021,8,3,16,High,6
2021,5,5,7,High,14
2017,3,3,16,High,10
2021,8,5,15,High,10
2016,8,7,7,High,2
2021,4,3,12,High,4
2016,5,5,5,Moderate,2
2016,9,2,17,High,15
2017,3,5,2,High,2
2018,5,6,5,Moderate,10
2020,11,2,14,High,8
2017,4,2,22,High,4
2019,2,6,8,Severe,4
2022,10,3,20,Moderate,13
2021,1,3,22,High,1
2020,4,4,0,Moderate,3
2018,9,5,22,High,5
2018,11,4,4,High,5
2023,2,1,0,Severe,4
2018,8,4,1,Moderate,3
2016,6,6,3,Moderate,2
2017,11,3,18,Severe,2
2016,6,7,17,High,1
2019,1,7,16,High,7
2021,10,5,1,Moderate,4
2021,11,2,8,High,11
2019,4,4,23,Moderate,4
2018,8,7,18,Moderate,8
2019,1,7,15,Moderate,7
2016,10,3,21,Moderate,9
2017,6,2,20,Severe,2
2018,12,3,12,High,4
2020,1,6,12,High,14
2020,4,5,1,Moderate,7
2017,8,4,5,High,8
2019,10,7,3,Moderate,6
2020,4,4,18,Low,11
2023,3,5,6,Moderate,6
2017,1,7,4,Moderate,3
2019,4,3,13,High,7
2022,3,1,6,Moderate,7
2017,3,6,10,High,8
2020,6,6,4,High,3
2022,7,3,9,High,2
2022,8,2,11,Low,5
2018,12,1,21,Moderate,2
2016,7,7,12,Moderate,5
2021,8,3,12,Severe,1
2019,10,1,6,Severe,2
2016,12,2,17,Severe,2
2017,8,1,8,Moderate,1
2019,5,5,21,Moderate,6
2020,6,4,22,High,4
2018,9,1,0,Moderate,3
2018,7,3,19,High,9
2016,4,3,18,Moderate,8
2020,6,5,22,High,3
2019,3,4,6,Severe,1
2018,2,1,22,Moderate,3
2016,4,4,6,Moderate,4
2020,5,1,0,Low,1
2020,11,7,5,Severe,1
2016,7,3,0,Moderate,5
2020,11,6,13,High,3
2019,4,7,3,Moderate,2
2019,2,6,5,High,5
2020,4,2,5,High,5
2016,5,1,14,High,1
2021,8,4,21,Moderate,24
2016,10,3,5,Severe,1
2020,6,4,16,Severe,5
2017,8,3,19,High,9
2020,6,1,22,High,2
2016,7,4,15,Moderate,13
2016,9,3,6,High,7
2022,9,3,9,Severe,3
2016,4,5,15,Moderate,7
2018,12,7,13,High,16
2019,2,6,11,Moderate,16
2016,11,4,21,High,7
2018,2,7,10,Moderate,5
2018,9,5,10,High,10
2018,7,7,10,High,4
2022,5,5,8,High,5
2019,11,6,9,High,9
2017,1,7,14,Moderate,3
2016,8,2,14,High,7
2022,7,5,11,High,6
2022,8,1,2,Severe,1
2018,4,4,9,Severe,2
2021,12,7,4,Severe,2
2016,11,1,0,High,2
2022,6,2,12,High,5
2018,2,5,22,Moderate,4
2021,4,3,9,Severe,2
2021,6,5,10,Severe,1
2022,6,5,5,High,1
2021,8,2,1,Moderate,6
2020,1,6,3,Moderate,4
2019,9,3,15,High,13
2016,12,1,11,Moderate,5
2022,7,1,1,Severe,1
2017,2,6,21,Moderate,14
2022,11,5,3,Moderate,10
2016,11,6,21,Severe,1
2017,12,2,22,High,6
2018,9,6,5,High,5
2019,3,7,22,Moderate,3
2019,8,2,22,Moderate,7
2018,1,6,10,High,8
2020,11,5,18,High,5
2018,8,3,23,Moderate,2
2022,2,5,2,Moderate,4
2017,2,3,10,High,5
2022,2,4,2,High,2
2020,1,6,3,Severe,1
2018,5,6,5,High,7
2022,3,2,5,High,6
2017,3,4,4,Moderate,5
2017,3,3,1,High,1
2020,8,1,2,High,1
2022,3,4,10,Severe,4
2021,8,6,7,High,5
2018,3,3,21,High,5
2017,9,3,2,Moderate,1
2019,8,3,10,Severe,1
2018,9,1,5,Severe,2
2019,5,1,11,High,9
2017,7,1,9,Moderate,5
2017,4,3,9,High,8
2018,2,6,2,High,2
2018,1,1,6,High,6
2020,9,6,18,High,6
2017,7,3,20,Severe,2
2022,7,6,5,Low,8
2017,5,5,16,High,13
2021,9,2,18,Severe,2
2022,4,6,1,Moderate,14
2019,10,4,1,High,2
2021,9,1,15,Severe,3
2017,4,4,19,Severe,1
2019,5,5,0,Moderate,1
2019,2,5,6,Severe,1
2019,1,7,8,Moderate,6
2021,3,4,19,High,5
2018,1,7,6,High,5
2020,1,6,15,High,18
2016,10,5,5,Severe,1
2018,11,1,15,High,4
2018,9,5,5,Severe,1
2018,2,5,21,Moderate,7
2022,3,7,6,Severe,1
2020,2,4,23,Severe,2
2023,2,2,12,Severe,2
2018,6,3,4,Severe,1
2016,8,6,8,High,5
2016,12,5,23,High,1
2021,12,6,5,High,2
2017,5,2,5,High,5
2018,6,5,11,Moderate,21
2022,2,4,8,High,9
2016,9,3,21,Moderate,7
2021,10,2,6,High,9
2020,3,1,2,Moderate,4
2020,10,6,4,High,3
2017,8,7,18,Moderate,3
2017,11,1,10,High,5
2020,5,5,20,Moderate,18
2022,11,2,2,Moderate,6
2019,11,7,15,High,11
2016,10,2,1,Severe,2
2022,11,6,1,Severe,1
2021,8,6,7,Severe,1
2018,7,4,17,Moderate,25
2019,12,1,3,Severe,1
2019,3,6,13,Severe,4
2020,11,2,8,Severe,2
2016,9,7,13,High,7
2022,9,3,15,Low,1
2016,10,7,3,Moderate,2
2022,1,1,6,High,5
2017,2,4,21,Moderate,4
2016,5,5,7,High,1
2022,2,1,22,Severe,2
2019,10,4,13,Severe,3
2022,8,4,21,Severe,2
2019,6,7,8,High,8
2020,4,5,12,Low,8
2020,11,4,4,High,1
2016,8,7,15,High,7
2016,2,2,8,Moderate,1
2022,1,6,18,High,3
2022,1,4,11,High,1
2019,4,4,19,Moderate,13
2019,5,4,15,Severe,1
2017,9,7,15,Moderate,4
2018,3,4,20,Severe,1
2021,4,3,22,Moderate,14
2020,10,1,17,Moderate,13
2019,10,3,2,Severe,1
2020,3,3,16,Severe,1
2019,1,5,5,High,14
2019,2,7,6,Moderate,5
2017,2,1,16,Moderate,4
2022,6,4,15,Low,1
2018,9,6,23,High,3
2021,5,7,5,Severe,1
2021,3,6,21,High,3
2020,4,7,17,Low,9
2021,12,3,5,High,4
2019,7,4,4,Moderate,14
2018,2,7,14,Moderate,7
2022,5,5,12,High,2
2021,12,3,10,High,3
2022,3,7,12,High,6
2017,2,7,1,High,1
2018,10,2,4,High,7
2019,4,7,10,Severe,2
2022,9,3,11,Moderate,24
2022,6,2,22,Moderate,15
2020,5,4,1,Moderate,5
2021,2,4,19,Severe,1
2021,8,7,20,High,4
2020,5,2,3,Moderate,4
2017,10,5,17,Severe,2
2016,3,4,11,Moderate,2
2017,7,5,5,High,5
2018,5,4,6,Severe,2
2017,11,7,21,High,6
2019,12,3,10,High,12
2019,9,5,9,High,2
2022,8,7,9,High,2
2016,4,2,19,High,6
2022,8,7,19,High,1
2017,2,3,15,Moderate,14
2022,2,3,19,High,5
2020,8,7,12,High,6
2016,12,5,4,Moderate,5
2019,7,1,16,Severe,4
2017,1,2,22,Moderate,8
2019,8,3,2,High,1
2021,9,6,16,High,6
2017,12,6,5,Moderate,19
2023,1,5,1,Moderate,5
2018,4,2,4,Moderate,15
2018,4,3,15,Severe,2
2020,7,7,6,High,1
2020,4,6,22,Moderate,7
2021,5,1,5,High,3
2019,7,2,23,Severe,1
2017,1,3,22,High,6
2021,6,4,22,High,3
2016,5,7,19,High,1
2017,7,7,7,Moderate,5
2022,1,5,5,High,3
2017,2,1,22,Moderate,11
2016,8,6,20,High,7
2016,7,1,19,High,6
2023,1,3,8,Severe,1
2018,6,1,18,Moderate,4
2020,9,1,10,High,1
2017,9,1,1,High,2
2020,10,6,9,Severe,1
2016,3,5,18,Moderate,6
2018,5,6,7,Severe,3
2017,9,2,16,High,20
2017,5,2,20,High,10
2022,8,6,13,High,6
2022,11,5,23,Moderate,13
2021,3,5,16,High,15
2020,1,7,22,Moderate,11
2016,6,5,18,Severe,1
2022,1,3,23,Moderate,7
2022,2,4,14,High,4
2016,12,1,13,Moderate,5
2020,1,7,22,High,4
2020,10,4,18,High,12
2019,12,3,4,High,9
2020,8,5,13,High,3
2021,2,2,12,High,7
2020,4,4,11,Severe,2
2019,3,3,13,Severe,1
2016,8,2,12,Severe,2
2017,6,5,11,High,3
2017,8,1,2,High,2
2020,12,4,21,High,3
2019,1,1,20,High,2
2017,6,3,1,Moderate,4
2020,11,5,20,High,3
2022,7,3,23,Moderate,11
2019,3,3,20,Moderate,6
2019,12,2,14,High,8
2016,11,2,21,High,8
2021,12,5,10,High,7
2018,7,5,22,Moderate,8
2021,10,3,12,High,2
2020,9,7,12,High,6
2020,5,5,2,Moderate,7
2017,3,3,4,High,7
2021,2,6,21,Severe,3
2017,5,3,19,Severe,2
2018,8,4,5,Moderate,17
2020,3,3,3,Moderate,4
2020,3,7,13,High,2
2022,3,7,6,Moderate,6
2021,5,1,16,Moderate,24
2018,5,4,14,Moderate,16
2020,4,6,20,High,7
2016,4,1,21,Moderate,2
2016,4,1,14,High,2
2016,10,2,19,Moderate,24
2017,10,4,14,High,7
2018,11,4,8,Severe,2
2016,4,4,5,Moderate,2
2017,1,4,6,Moderate,15
2018,9,1,7,Moderate,11
2018,12,1,19,Moderate,6
2019,1,1,15,High,8
2020,3,3,17,Low,4
2022,9,6,5,Moderate,20
2019,4,7,3,High,1
2020,4,7,13,Severe,1
2021,8,7,9,High,5
2022,5,4,6,High,6
2021,6,2,20,High,3
2021,2,1,16,High,4
2021,7,1,1,Moderate,8
2018,4,3,13,High,9
2016,3,4,19,High,3
2021,9,3,10,High,6
2016,4,6,0,Severe,1
2019,2,7,8,Moderate,7
2018,8,6,19,High,11
2018,12,2,20,Moderate,9
2017,3,6,2,High,3
2016,10,1,15,High,12
2019,5,5,16,Severe,2
2021,7,4,16,High,5
2018,11,1,10,High,8
2022,5,6,15,High,5
2019,7,6,11,Severe,2
2022,7,4,22,Moderate,18
2018,2,5,12,High,5
2019,2,3,22,Severe,3
2020,7,6,14,High,9
2019,5,5,2,High,2
2017,5,1,8,Moderate,5
2020,9,7,18,High,3
2019,10,3,19,High,12
2018,1,4,20,High,7
2021,4,5,20,Severe,1
2020,11,3,22,Severe,3
2016,4,2,21,Moderate,4
2022,2,2,13,High,5
2022,6,3,2,Moderate,2
2017,6,1,21,Moderate,7
2017,6,6,21,High,10
2021,10,7,6,High,3
2019,8,5,4,High,3
2016,9,5,15,High,11
2016,6,6,7,High,5
2018,11,1,2,High,1
2021,12,7,16,High,4
2021,1,7,10,Moderate,24
2022,6,3,18,Low,6
2021,3,4,18,High,7
2016,4,6,21,High,2
2022,5,5,7,Severe,2
2017,2,2,0,High,2
2016,8,6,11,Severe,3
2022,7,4,6,High,6
2019,12,7,7,Severe,1
2016,5,3,11,High,6
2020,8,2,17,Moderate,19
2021,3,5,1,Moderate,6
2022,7,5,3,Moderate,8
2017,10,4,9,Severe,2
2018,4,3,7,Severe,3
2021,8,4,23,Severe,2
2022,4,4,5,Low,2
2018,3,4,5,High,8
2019,9,2,4,Severe,3
2017,10,2,6,Severe,2
2016,12,7,20,Moderate,3
2018,5,4,20,High,7
2016,9,5,22,Moderate,8
2021,6,2,12,High,6
2020,6,1,16,High,12
2018,7,7,2,Moderate,2
2020,4,2,5,Low,3
2021,6,1,16,High,3
2018,2,6,21,High,6
2021,2,6,17,High,12
2017,2,6,13,Moderate,17
2018,5,7,14,High,12
2022,5,7,22,High,2
2016,2,6,20,Severe,1
2019,6,5,4,High,4
2020,7,1,4,High,3
2021,2,5,2,High,3
2020,5,1,13,Low,4
2022,8,5,3,Moderate,6
2017,2,5,2,Moderate,3
2021,2,4,20,Severe,1
2020,3,1,2,High,3
2022,12,5,8,Severe,1
2018,1,1,10,Moderate,2
2016,5,3,9,High,3
2020,4,5,23,Low,2
2017,6,6,5,Moderate,12
2021,3,3,21,High,4
2019,1,1,18,Moderate,5
2020,8,4,8,Moderate,29
2021,3,4,8,Severe,2
2016,12,2,5,Moderate,9
2023,1,1,3,Severe,2
2019,7,6,20,High,8
2022,4,1,3,Severe,1
2022,5,7,9,Moderate,12
2016,10,2,19,Severe,3
2019,6,5,23,Moderate,5
2018,5,2,19,High,7
2019,9,6,20,Severe,2
2022,2,5,21,Moderate,16
2018,1,3,11,Severe,3
2016,5,2,23,High,2
2023,3,1,3,Moderate,8
2016,4,3,5,Moderate,4
2018,8,5,19,High,8
2022,4,6,21,Severe,1
2016,4,6,16,High,6
2019,12,6,14,High,7
2017,8,4,21,High,4
2017,8,5,14,High,9
2021,3,1,19,Severe,2
2019,6,6,22,High,2
2020,8,3,12,Moderate,2
2017,8,1,15,Moderate,5
2021,2,3,5,Severe,2
2020,5,5,15,Severe,5
2016,3,7,0,High,1
2018,4,6,1,Severe,1
2016,10,7,16,High,3
2016,7,3,2,Moderate,1
2018,5,2,23,Moderate,2
2022,9,3,18,High,1
2016,5,1,13,High,2
2017,2,6,17,High,13
2017,9,3,17,High,22
2020,10,5,20,High,8
2021,12,4,4,Severe,2
2021,3,2,19,High,6
2017,6,3,16,Moderate,27
2021,12,3,21,High,5
2020,10,3,5,High,4
2019,12,6,0,High,2
2021,7,1,14,Severe,2
2021,6,5,1,Moderate,3
2021,1,6,1,Severe,2
2020,7,4,12,Severe,1
2016,3,3,15,High,3
2023,2,6,17,Moderate,14
2020,2,6,9,High,7
2019,10,7,2,Moderate,6
2016,9,2,8,Severe,2
2018,11,4,23,High,6
2018,8,6,7,Severe,1
2023,3,5,21,Moderate,3
2022,3,4,23,Moderate,5
2021,2,6,12,High,9
2017,8,4,7,Severe,2
2021,10,1,22,Moderate,14
2018,12,1,16,Moderate,8
2019,11,6,22,Severe,3
2020,10,4,15,High,9
2016,7,1,15,Moderate,4
2017,1,2,4,Moderate,2
2022,4,4,6,High,6
2022,4,3,6,High,4
2017,2,7,2,Moderate,1
2020,3,3,18,Low,7
2018,8,1,20,High,2
2021,10,5,10,High,2
2017,11,1,21,Moderate,3
2018,10,5,12,Moderate,14
2022,10,2,11,Severe,1
2018,11,2,2,Moderate,2
2019,4,5,1,Moderate,3
2018,11,6,9,High,8
2020,5,6,14,Severe,3
2017,10,7,9,High,6
2016,9,1,9,High,3
2022,2,4,21,Severe,2
2016,6,1,12,High,2
2018,1,2,2,Moderate,3
2020,7,7,17,Moderate,4
2020,8,7,22,Moderate,3
2018,6,1,14,High,10
2017,1,4,10,Moderate,13
2016,8,5,11,Severe,1
2018,11,1,22,Severe,1
2021,9,5,7,Severe,2
2022,5,5,23,High,1
2022,10,6,1,Moderate,3
2018,12,5,12,High,16
2021,1,3,17,High,7
2016,5,1,5,Moderate,2
2017,8,4,3,High,1
2018,4,1,18,High,6
2016,10,2,18,Severe,1
2016,7,1,22,High,2
2020,3,1,14,High,8
2017,3,5,6,High,10
2016,2,4,14,Severe,1
2021,11,1,3,Severe,1
2017,5,6,7,Severe,1
2019,5,7,20,Moderate,5
2018,6,3,22,High,2
2017,5,5,22,High,6
2016,7,5,21,Moderate,7
2022,2,5,19,High,7
2020,2,2,10,High,7
2019,9,2,3,Moderate,4
2019,2,4,22,High,9
2021,9,2,20,Moderate,21
2016,9,3,0,High,3
2016,11,2,14,High,9
2022,2,1,8,Moderate,19
2020,8,7,19,Moderate,2
2016,4,7,13,Moderate,3
2016,11,3,3,High,3
2019,3,6,17,High,19
2021,10,3,23,Moderate,6
2016,6,5,21,Moderate,8
2019,7,2,0,Severe,1
2021,12,7,15,High,4
2019,2,2,1,High,1
2022,6,7,17,High,3
2016,3,5,3,Moderate,1
2021,12,2,15,Severe,1
2022,4,4,10,Severe,2
2020,4,4,23,Severe,4
2018,6,4,3,High,2
2020,3,4,19,High,11
2018,5,5,10,High,17
2020,5,3,2,Moderate,3
2018,9,4,2,High,1
2018,5,2,10,High,7
2017,7,1,2,Moderate,2
2018,11,1,9,Severe,1
2016,3,2,13,Moderate,6
2023,2,7,7,Moderate,3
2019,6,3,3,High,1
2019,12,2,21,Severe,2
2022,4,1,6,High,2
2017,2,1,13,High,2
2021,11,5,22,Moderate,18
2016,11,1,18,Moderate,7
2019,11,4,3,Severe,3
2020,6,7,1,High,4
2016,3,7,7,Severe,1
2018,12,5,10,High,11
2018,5,5,0,Moderate,2
2021,3,4,1,Moderate,10
2017,1,6,11,Severe,1
2020,5,4,0,Severe,1
2016,8,2,7,High,10
2019,10,5,0,High,1
2019,8,3,6,High,8
2016,6,7,6,Severe,1
2022,10,1,18,Severe,2
2019,8,3,2,Severe,1
2018,7,7,0,High,1
2018,2,2,21,Moderate,7
2020,4,5,17,Low,12
2020,11,1,9,High,2
2022,3,4,13,Severe,2
2016,8,3,9,High,18
2018,9,4,0,Moderate,3
2022,8,2,23,Severe,2
2016,10,6,11,High,6
2019,1,5,10,High,17
2019,8,6,22,High,4
2016,6,6,9,High,7
2017,6,4,19,High,2
2019,8,6,1,Moderate,6
2021,8,7,22,Severe,2
2017,5,6,1,Moderate,2
2022,3,4,8,High,5
2021,7,3,5,High,3
2018,12,7,5,Moderate,4
2018,4,2,2,Moderate,2
2021,12,6,15,High,8
2017,2,6,10,Severe,3
2017,5,7,20,Severe,1
2021,6,1,16,Severe,2
2023,1,6,20,Severe,2
2021,10,1,19,High,5
2018,7,6,9,Moderate,21
2023,2,4,0,Severe,9
2020,3,4,9,High,7
2023,2,1,17,Moderate,4
2016,10,4,13,High,5
2022,11,1,22,Moderate,10
2020,11,5,16,High,6
2017,12,1,13,Moderate,4
2018,5,1,14,Moderate,7
2022,9,4,5,Low,1
2017,10,6,21,Moderate,5
2019,2,6,21,High,4
2016,2,6,23,High,1
2016,6,4,22,Moderate,2
2016,3,6,9,Severe,2
2020,6,7,21,Low,2
2016,8,5,5,Moderate,6
2020,2,2,20,Severe,2
2016,8,2,6,High,4
2018,9,6,13,Severe,2
2021,1,5,9,High,3
2018,1,4,5,Moderate,22
2021,5,6,19,High,9
2018,9,3,6,Severe,4
2022,5,6,20,Moderate,18
2017,8,5,10,High,6
2023,2,6,4,Moderate,6
2022,8,5,9,Low,6
2021,3,7,13,High,11
2020,7,3,7,High,9
2018,1,1,5,Moderate,1
2016,12,4,8,High,14
2020,4,7,1,Moderate,6
2020,4,4,5,Severe,5
2019,4,3,23,Moderate,4
2020,9,1,7,Moderate,12
2022,6,4,4,High,5
2016,6,5,3,Moderate,4
2018,11,1,14,High,5
2018,5,7,16,High,6
2022,5,7,18,Severe,2
2022,7,1,4,Severe,1
2016,11,1,10,Severe,1
2017,1,5,22,Severe,2
2019,2,4,6,Severe,2
2022,6,5,8,High,11
2016,11,2,15,Severe,1
2018,5,5,22,High,8
2022,2,1,5,Moderate,5
2017,10,1,5,High,2
2017,7,7,17,Moderate,3
2021,6,3,3,Moderate,3
2020,2,3,17,High,8
2023,2,7,11,Moderate,8
2018,12,1,22,High,2
2017,12,3,18,High,15
2019,3,1,0,Moderate,3
2023,1,5,21,Severe,1
2019,9,6,0,High,3
2018,5,6,15,High,20
2019,6,4,7,High,19
2017,3,7,16,High,11
2022,9,2,21,Severe,3
2017,12,7,22,Moderate,4
2017,11,2,20,Moderate,8
2021,1,1,23,Severe,1
2017,3,7,7,Severe,1
2016,6,6,22,High,7
2022,12,1,5,Moderate,11
2017,8,4,17,Severe,2
2017,3,1,3,Severe,1
2019,7,3,11,Severe,1
2018,1,5,21,High,8
2017,4,2,11,Severe,1
2019,12,6,4,High,3
2017,3,3,18,High,11
2016,9,1,12,Moderate,6
2017,5,1,18,High,1
2020,2,1,4,Moderate,3
2021,1,4,14,High,7
2020,4,2,20,Severe,3
2019,3,2,0,Moderate,4
2017,11,1,8,High,3
2019,3,5,4,High,7
2022,8,2,9,Low,6
2021,10,1,16,Severe,1
2019,9,3,14,High,4
2019,1,4,19,Severe,2
2019,2,3,19,Severe,4
2019,3,3,14,High,4
2022,8,6,15,High,7
2018,6,7,15,Moderate,6
2022,12,4,12,Severe,3
2019,10,1,22,Moderate,9
2022,4,6,5,High,5
2020,11,1,22,High,1
2016,7,5,21,High,6
2019,3,6,21,High,12
2022,8,2,17,Low,2
2022,7,3,4,Low,7
2020,3,3,0,Moderate,6
2018,6,2,22,Severe,1
2022,1,7,14,High,3
2022,12,6,2,Moderate,24
2017,6,3,21,High,4
2017,7,2,2,Moderate,1
2021,9,6,1,High,2
2020,10,6,7,Severe,1
2019,10,5,3,Moderate,8
2022,12,5,13,Severe,1
2018,4,6,6,Severe,1
2017,4,6,22,Moderate,8
2022,3,4,9,Severe,2
2018,11,6,20,Severe,2
2021,2,4,0,Severe,4
2020,8,6,21,High,4
2022,7,5,5,Moderate,16
2019,6,2,2,Moderate,1
2020,1,5,9,High,9
2017,8,6,13,Severe,2
2021,7,7,7,High,6
2021,4,1,19,High,2
2021,10,5,17,High,11
2017,11,7,19,Moderate,4
2016,9,5,20,High,10
2019,1,5,18,High,21
2022,6,4,15,High,10
2022,2,6,9,High,5
2018,2,4,4,Moderate,4
2022,5,5,4,Moderate,10
2018,11,2,11,High,9
2019,4,3,22,High,3
2019,10,2,4,High,4
2022,5,6,10,Low,3
2017,2,6,6,High,8
2016,6,4,17,High,7
2019,4,3,14,High,14
2021,4,2,20,Severe,4
2019,5,7,1,High,4
2017,8,6,23,Severe,1
2016,12,2,4,Moderate,7
2018,7,2,18,Severe,1
2019,9,2,22,Severe,2
2020,2,1,15,High,7
2021,12,7,13,High,5
2018,6,1,6,High,3
2017,6,6,0,Moderate,2
2018,12,2,11,Severe,2
2016,11,3,7,Severe,2
2017,5,4,14,Moderate,18
2016,6,1,18,High,2
2018,12,3,5,Severe,1
2016,2,2,5,Severe,1
2019,3,5,21,Moderate,8
2019,1,1,16,High,5
2018,3,6,2,Moderate,3
2020,1,6,13,High,8
2019,2,4,7,Severe,1
2023,2,7,21,Moderate,7
2017,7,7,21,High,2
2019,5,7,23,High,3
2019,7,1,10,Moderate,6
2016,9,4,2,Moderate,1
2019,7,3,19,Severe,5
2019,7,3,0,Severe,2
2021,3,1,21,Moderate,9
2019,8,6,12,Severe,2
2018,12,2,22,High,5
2019,1,2,4,High,9
2021,3,6,5,High,2
2020,3,3,21,Low,1
2017,12,7,9,Moderate,6
2022,8,4,17,Low,4
2020,3,5,9,Moderate,31
2020,7,2,16,High,12
2020,4,3,0,Moderate,5
2022,9,2,19,High,3
2019,3,4,3,High,6
2021,1,6,21,High,5
2017,12,6,9,Severe,2
2018,8,2,22,Moderate,3
2020,6,6,16,Low,10
2019,5,5,10,High,6
2017,3,1,14,Moderate,7
2022,4,6,8,Severe,3
2022,2,3,9,High,3
2016,4,7,1,Moderate,2
2018,10,5,21,Severe,1
2016,6,3,7,Moderate,10
2018,9,2,1,Moderate,2
2017,2,3,14,High,8
2020,5,7,20,High,7
2016,5,4,17,High,2
2016,11,6,18,High,16
2022,7,6,10,High,3
2021,2,5,8,High,12
2017,9,1,14,Moderate,4
2019,3,1,10,High,6
2022,6,5,6,High,10
2021,7,2,7,High,6
2017,12,3,22,High,2
2023,3,6,23,Moderate,6
2020,6,4,10,High,5
2021,3,6,8,High,8
2020,6,3,4,Moderate,17
2018,7,4,3,Moderate,3
2017,12,6,5,High,11
2017,1,6,10,Severe,1
2020,4,7,4,Moderate,3
2023,2,1,16,Severe,1
2019,1,6,14,High,13
2018,1,3,23,Moderate,2
2019,5,2,6,Low,1
2022,2,4,23,Moderate,6
2017,9,4,5,High,6
2017,2,5,4,High,4
2016,7,4,2,Moderate,2
2016,4,6,18,Severe,1
2017,8,1,11,High,6
2016,10,1,5,High,3
2018,9,7,18,Severe,1
2021,7,2,19,High,3
2020,4,4,5,Moderate,16
2018,9,1,2,High,3
2018,12,7,19,Moderate,8
2018,5,1,7,Severe,1
2020,3,1,0,Severe,1
2022,9,4,15,Severe,1
2016,11,4,1,High,2
2018,6,5,4,Moderate,5
2020,2,6,2,Moderate,1
2021,6,4,19,Severe,3
2017,7,2,4,Moderate,5
2017,8,5,19,High,13
2019,8,2,22,High,4
2019,12,7,17,High,8
2018,3,7,17,High,7
2020,4,3,21,Severe,1
2018,6,4,13,Severe,3
2016,6,3,23,Moderate,1
2022,11,6,12,Severe,2
2022,5,4,5,High,2
2020,6,7,0,Moderate,8
